LIB_ID,SGD_DB_ID,SYS_ID,GENE_SYM,NAME,PHENOTYPE,DESCRIPTION
AAR2,S000000170,YBL074C,AAR2,A1-Alpha2 Repression,"Essential gene; conditional mutant is heat sensitive, loses viability at elevated temperature and displays elevated colony sectoring, indicative of chromosome instability; reduction of function mutant has increased telomere length, and decreased competitive fitness in minimal medium
",Component of the U5 snRNP complex; required for splicing of U3 precursors; originally described as a splicing factor specifically required for splicing pre-mRNA of the MATa1 cistron
AAT1,S000001589,YKL106W,AAT1,Aspartate AminoTransferase,"Non-essential gene; null mutant has a reduced respiratory growth rate and decreased competitive fitness on non-fermentable carbon sources; null has reduced groth on minimal medium and a reduced ability to use proline as a nitrogen source; null mutant has a reduction in caloric restriction-mediated lifespan extension, while overexpression enhances both chronological and replicative lifespan; overexpression increases silencing at the rDNA locus; null mutant has enhanced biofilm formation; heterozygous null mutant is haploinsufficient
",Mitochondrial aspartate aminotransferase; catalyzes the conversion of oxaloacetate to aspartate in aspartate and asparagine biosynthesis
AAT2,S000004017,YLR027C,AAT2,Aspartate AminoTransferase,"Non-essential gene in S288C, but essential in the Sigma1278b background; S288C null mutant displays a decreased growth rate and decreased competitive fitness in rich medium, temperature sensitivity, and a decreased respiratory growth rate; null mutant is sensitive to DNA synthesis inhibitors, DNA damaging agents and topoisomerase inhibitors; null mutant has decreased resistance to hyperosmotic stress, metals, and zymolyase; null mutant displays decreased chronological lifespan; homozygous null mutant has decreased sporulation efficiency
",Cytosolic aspartate aminotransferase involved in nitrogen metabolism; localizes to peroxisomes in oleate-grown cells
ABD1,S000000440,YBR236C,ABD1,,"Essential gene; temperature-sensitive mutation causes decreasing protein synthesis upon temperature shift; repression leads to abnormal protein secretion
",Methyltransferase; catalyzes the transfer of a methyl group from S-adenosylmethionine to the GpppN terminus of capped mRNA; nuclear protein that relocalizes to the cytosol in response to hypoxia
ABF1,S000001595,YKL112W,ABF1,ARS-Binding Factor 1,"Essential gene; overexpression variously reported to cause sensitivity to nocodazol, decreased growth rate, or lethality; conditional mutants show delayed progression through G2 phase
","DNA binding protein with possible chromatin-reorganizing activity; involved in transcriptional activation, gene silencing, and DNA replication and repair"
ABF2,S000004676,YMR072W,ABF2,ARS-Binding Factor,"Non-essential gene; null mutant is incapable of respiratory growth, sensitive to hyperosmotic stress, and shows defects in mitochondrial genome maintenance; overexpression causes abnormal budding and cell cycle progression through G2 phase
","Mitochondrial DNA-binding protein; involved in mitochondrial DNA replication and recombination, member of HMG1 DNA-binding protein family; activity may be regulated by protein kinase A phosphorylation; ABF2 has a paralog, IXR1, that arose from the whole genome duplication; human homolog TFAM can complement yeast abf2 mutant, rescuing the loss-of-mitochondrial DNA phenotype in a yeast abf2 strain"
ACC1,S000005299,YNR016C,ACC1,Acetyl-CoA Carboxylase,"Essential gene; conditional mutants accumulate poly(A) RNA in the nucleus; overexpression leads to increased lipid accumulation; reduction of function results in chromosome instability, decreased competitive fitness, heat sensitivity
","Acetyl-CoA carboxylase, biotin containing enzyme; catalyzes carboxylation of cytosolic acetyl-CoA to form malonyl-CoA and regulates histone acetylation by regulating the availablity of acetyl-CoA; required for de novo biosynthesis of long-chain fatty acids; ACC1 has a paralog, HFA1, that arose from the whole genome duplication"
ACO1,S000004295,YLR304C,ACO1,ACOnitase,"Non-essential gene; null mutant shows glutamate auxotrophy, sensitivity to hyperosmotic stress, increased accumulation of iron in the mitochondria, loss of mitochondrial genome and deficiency in respiratory growth
",Aconitase; required for the tricarboxylic acid (TCA) cycle and also independently required for mitochondrial genome maintenance; component of the mitochondrial nucleoid; mutation leads to glutamate auxotrophy; human homolog ACO2 can complement yeast null mutant
ACP1,S000001675,YKL192C,ACP1,Acyl Carrier Protein,"Essential gene in S288C, but non-essential in another background; S288C-derived null mutant is viable but slow growing when cultured anaerobically; non-essential null mutant is petite and displays decreased accumulation of lipoic acid; reduction of function mutant displays decreased competitive fitness in minimal medium, chromosomal instability, and decreased resistance to hydroxyurea and MMS; overexpression results in increased resistance to dihydromotuporamine C, a tumor cell invasion inhibitor; heterozygous null mutant is haploinsufficient
","Mitochondrial matrix acyl carrier protein; involved in biosynthesis of octanoate, which is a precursor to lipoic acid; activated by phosphopantetheinylation catalyzed by Ppt2p"
ACS2,S000004143,YLR153C,ACS2,Acetyl CoA Synthetase,"Non-essential gene; null mutant is capable of respiratory growth on non-fermentable carbon sources, but incapable of fermentative growth on glucose as a carbon source
","Acetyl-coA synthetase isoform; along with Acs1p, acetyl-coA synthetase isoform is the nuclear source of acetyl-coA for histone acetylation; mutants affect global transcription; required for growth on glucose; expressed under anaerobic conditions"
ACT1,S000001855,YFL039C,ACT1,ACTin,"Essential gene; conditional mutants show pleiotropic defects including abnormal actin cytoskeleton, chromosome instability, altered subcellular morphology, increased sensitivity to heat, multiple chemicals and osmotic stress; overexpression leads to growth arrest
","Actin; structural protein involved in cell polarization, endocytosis, and other cytoskeletal functions"
ADA2,S000002856,YDR448W,ADA2,transcriptional ADAptor,"Non-essential gene; null mutant shows altered transcription of multiple genes, weakened cell wall and decreased growth rate; in systematic studies null mutant shows inositol auxotrophy, increased sensitivity to multiple chemicals, alkaline pH and heat
",Transcription coactivator; component of the ADA and SAGA transcriptional adaptor/HAT (histone acetyltransferase) complexes
ADE13,S000004351,YLR359W,ADE13,ADEnine requiring,Essential gene in S288C; reduction-of-function mutations result in adenine auxotrophy,Adenylosuccinate lyase; catalyzes two steps in the 'de novo' purine nucleotide biosynthetic pathway; expression is repressed by adenine and activated by Bas1p and Pho2p; mutations in human ortholog ADSL cause adenylosuccinase deficiency; human ADSL can complement yeast ADE13 null mutant
ADE2,S000005654,YOR128C,ADE2,ADEnine requiring,"Non-essential gene; null mutant displays adenine auxotrophy, forms red colonies and is sensitive to purine analogs; in large-scale studies null mutant shows decreased competitive fitness and shortened chronological lifespan
",Phosphoribosylaminoimidazole carboxylase; catalyzes a step in the 'de novo' purine nucleotide biosynthetic pathway; red pigment accumulates in mutant cells deprived of adenine
AEP1,S000004668,YMR064W,AEP1,ATPase ExPression,"Non-essential gene; in systematic studies, null mutant is incapable of respiratory growth and grows slowly under standard fermentative growth conditions; also shows sensitivity to lipids, lower resistance to ethanol, abnormal mitochondrial morphology and decreased mitophagy; homozygous null mutation in diploids causes sensitivity to oxidative stress, but increases innate thermotolerance and resistance to benomyl, actinomycin D, Calcofluor White, idarubicin and tirapazamine
",Protein required for expression of the mitochondrial OLI1 gene; mitochondrial OLI1 gene encodes subunit 9 of F1-F0 ATP synthase
AEP2,S000004895,YMR282C,AEP2,ATPase ExPression,"Non-essential gene; null mutant is unable to grow under respiratory growth conditions; in systematic studies, null mutant shows slow growth under fermentative growth condtions, produces small-size cells, has abnormal mitochondrial morphology and lower resistance to ethanol; in diploids under competitive growth conditions, homozygous null mutation results in sensitivity to oxidative stress and increased resistance to cell wall-affecting chemicals, such as caffeine and Calcofluor White, and to DNA-damaging factors, such as MMS, idarubicin, melphalan
",Mitochondrial protein; likely involved in translation of the mitochondrial OLI1 mRNA; exhibits genetic interaction with the OLI1 mRNA 5'-untranslated leader
