Plate,Row,Column,Phenotypes.ExperimentGrowthYield,Phenotypes.GenerationTime,Phenotypes.ExperimentPopulationDoublings,Phenotypes.ExperimentBaseLine,Phenotypes.ColonySize48h
0,0,0,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,0,1,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,0,2,NoGrowth,NoGrowth,-0.560756383,-5.093524746,-11.69115725
0,0,3,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,0,4,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,0,5,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,0,6,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,0,7,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,0,8,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,0,9,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,0,10,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,0,11,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,0,12,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,0,13,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,0,14,NoGrowth,NoGrowth,-0.204496536,-6.500736736,-12.89850093
0,0,15,-10.23342296,0.871232013,-0.829215971,-7.027887832,-10.40618564
0,0,16,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,0,17,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,0,18,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,0,19,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,0,20,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,0,21,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,0,22,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,0,23,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,0,24,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,0,25,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,0,26,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,0,27,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,0,28,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,0,29,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,0,30,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,0,31,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,0,32,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,0,33,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,0,34,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,0,35,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,0,36,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,0,37,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,0,38,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,0,39,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,0,40,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,0,41,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,0,42,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,0,43,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,0,44,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,0,45,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,0,46,-1.313212355,0.099588137,-0.42378416,0.237265912,-1.19819318
0,0,47,-1.51563296,0.05861966,-0.402809701,-0.004439955,-1.295847912
0,1,0,NoGrowth,NoGrowth,-0.119462957,-7.999148584,-12.76980346
0,1,1,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,1,2,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,1,3,0,0,0,0,0
0,1,4,NoGrowth,NoGrowth,0.517622848,-9.635075386,-12.56406766
0,1,5,0,0,0,0,0
0,1,6,NoGrowth,NoGrowth,0.135846181,-8.981924354,-13.57688401
0,1,7,0,0,0,0,0
0,1,8,NoGrowth,NoGrowth,0.047394711,-8.30503456,-12.66531592
0,1,9,0,0,0,0.284515488,0
0,1,10,NoGrowth,NoGrowth,0.208624213,-8.498251369,-13.10223326
0,1,11,0,0,0,0,0
0,1,12,NoGrowth,NoGrowth,-0.006684689,-9.072641855,-13.04283546
0,1,13,0,0,0,0,0
0,1,14,NoGrowth,NoGrowth,-0.011116703,-9.195773569,-14.39434375
0,1,15,0,0,0,0.367458812,0
0,1,16,NoGrowth,NoGrowth,-1.490724447,-4.010900804,-9.674971109
0,1,17,0,0,0,0,0
0,1,18,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,1,19,0,0,0,0,0
0,1,20,NoGrowth,NoGrowth,-0.190624642,-8.839810276,-14.80301192
0,1,21,0,0,0,0,0
