Plate,Row,Column,Phenotypes.InitialValue,Phenotypes.ExperimentBaseLine,Phenotypes.ExperimentEndAverage,Phenotypes.ColonySize48h,Phenotypes.ChapmanRichardsParam2,Phenotypes.ChapmanRichardsParam3,Phenotypes.ChapmanRichardsParamXtra,Phenotypes.ChapmanRichardsParam1,Phenotypes.ChapmanRichardsParam4,Phenotypes.GenerationTimeStErrOfEstimate,Phenotypes.ExperimentGrowthYield,Phenotypes.GenerationTime,Phenotypes.ExperimentPopulationDoublings,Phenotypes.ChapmanRichardsFit,Phenotypes.GenerationTimeWhen
1,0,0,156277.84757276921,158450.59080372137,9132501.8597677201,6092071.8101527216,21.331941568710622,-2.9517099240335836,17.081662775280325,1.7934876341950932,-53.78946281851276,0.001123914703745506,8974051.2689639982,3.2494706486356271,5.8489051982620097,0.99772884602224243,4.5259191666666663
1,0,1,134805.04481102846,136857.28017225824,7192697.4105473803,5249771.4922550432,17.401935039267357,-2.8297751165030527,16.823671118864105,1.7764284277346445,-44.42228234827396,0.0013701384448895869,7055840.1303751217,2.9735496185436339,5.7157888261321865,0.99746130387427157,4.5259191666666663
1,0,2,139397.07409371028,141292.08113794241,6511720.3008107999,4849781.1778470101,17.286469367864793,-2.8141181272390545,16.848555017235704,1.7476514078988739,-45.892615449027566,0.0025089180505346643,6370428.2196728578,3.0020020487190719,5.5262862168722151,0.99742136050726216,4.8742964166666667
1,0,3,130258.02468616352,132283.5865604979,6092186.6211445061,4670370.0322348243,15.138323488280717,-2.7673117359989119,16.755887564992005,1.7462263410273016,-29.139796738121639,0.0015414014957016147,5959903.0345840082,2.9149648999000566,5.5252541647967384,0.99737266490934517,4.5259191666666663
1,0,4,129823.04216722735,131629.23337208002,5701575.4503082605,4467673.7927254271,14.014019879057825,-2.741430551419235,16.727462774461749,1.7349524698897874,-22.167782005543405,0.0021997990643494638,5569946.2169361804,2.8715726442630745,5.4368087814644603,0.99752924785399888,4.5259191666666663
1,0,5,128929.92568438113,131084.33558855989,5620951.9037223728,4462321.8142913319,13.118585635890453,-2.7220886285807588,16.694340925814803,1.7372034088438568,-36.057412909400298,0.0012721159078767138,5489867.5681338133,2.9024862932751474,5.4222472696416766,0.99791660125528447,4.5259191666666663
1,0,6,120569.22645138629,122408.67911106383,3567378.8236145913,2862654.7472616038,10.211104627201548,-2.7970987657424256,16.707476888715256,1.6175872411883598,-51.10420744011941,0.0007201548136720762,3444970.1445035273,3.3579077905932069,4.8650866674002309,0.99822741788926994,3.8235470277777779
1,0,7,128273.73207579223,130398.68032361811,4105748.2824488305,3346119.0000892002,8.9863928051302207,-2.7465580481357148,16.779861521944746,1.6414666705107006,-45.753504866961691,0.0012805185842305136,3975349.6021252126,3.1098017440403192,4.9766440063696216,0.99810458913602507,3.8235470277777779
1,0,8,145846.01927548557,147721.22662341312,5221202.0793813504,4270474.9791319612,14.278803819064596,-2.7127624910283039,16.771631527971671,1.7079322650716529,-27.61949132145768,0.0022472525346099374,5073480.8527579373,3.0319538516487987,5.1434329448418801,0.99831117143193415,5.2056007500000003
1,0,9,126220.10411724573,128266.66756817659,5153659.6025451226,4231008.4459628854,11.871439484942064,-2.6718753040860501,16.623363340400413,1.7286404738853829,-23.414769409739236,0.0022506760705987344,5025392.9349769456,2.9535227635135106,5.3283790371907962,0.99810013792673102,4.8742964166666667
1,0,10,126264.80467775883,128326.5968835932,5092477.6812379779,4204382.4574911259,12.316681883300674,-2.6580509468762159,16.600942692249351,1.7295377215625904,-21.801132781504176,0.0012596118611626953,4964151.0843543848,2.9290844474130311,5.3104756337882684,0.99810284777417746,4.5259191666666663
1,0,11,128454.17887757767,130472.82605309132,5115416.9554009475,4246693.1264560902,11.569942273200311,-2.6699679899577751,16.639625781201694,1.7249762761399985,-25.336501743164703,0.0013919459134591286,4984944.1293478562,2.9092860379144572,5.2930305692152118,0.9981997205781572,4.5259191666666663
1,0,12,135901.71356572787,137895.78444954325,3767943.5468856446,3124852.5884164497,11.324735606373789,-2.6797565408724346,16.841207355049804,1.6010233546690542,-56.866451188180754,0.00076443270129386554,3630047.7624361012,3.1561109778333258,4.7721270913196783,0.99676284547354987,4.5259191666666663
1,0,13,123302.75267869935,125375.48812043467,3980707.2142397393,3272970.7342028953,11.956413376012581,-2.6715712538065719,16.702355013329058,1.6433932900772286,-57.327604591267452,0.0008966050206629493,3855331.7261193045,3.0024114057251232,4.9886975406314384,0.99639837422100508,4.5259191666666663
1,0,14,126655.90501808225,128858.40322703624,5197607.1914326204,4350383.2561896713,11.161089113440994,-2.6465077574066944,16.618142960529298,1.7322299280810929,-26.721805009439116,0.0014910605394826408,5068748.7882055845,2.8944860757339526,5.3339890787472655,0.99813887578224247,4.5259191666666663
